Layer,LayerShape,ag_total_packets,ag_dropped_packets,ag_received_packets,rs_total_packets,rs_dropped_packets,rs_received_packets
95,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
96,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
97,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
98,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
157,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
158,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
159,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
160,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
161,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
162,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
163,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
164,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
165,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
166,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
167,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
168,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
169,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
170,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
171,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
172,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
173,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
174,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
175,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
176,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
235,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
236,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
237,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
238,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
239,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
240,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
241,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
242,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
243,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
244,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
245,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
246,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
247,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
248,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
249,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
250,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
251,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
252,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
253,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
254,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
313,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
314,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
315,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
316,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
317,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
318,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
319,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
320,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
321,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
322,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
323,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
324,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
325,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
326,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
327,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
328,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
329,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
330,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
331,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
332,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
395,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
396,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
397,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
398,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
399,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
400,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
401,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
402,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
403,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
404,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
405,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
406,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
407,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
408,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
409,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
410,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
411,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
412,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
413,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
414,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
415,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
474,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
475,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
476,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
477,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
478,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
479,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
480,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
481,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
482,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
483,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
484,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
485,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
486,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
487,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
488,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
489,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
490,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
491,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
492,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
493,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
552,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
553,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
554,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
555,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
556,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
557,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
558,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
559,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
560,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
561,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
562,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
563,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
564,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
565,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
566,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
567,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
568,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
569,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
570,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
571,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
630,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
631,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
632,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
633,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
634,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
635,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
636,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
637,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
638,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
639,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
640,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
641,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
642,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
643,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
644,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
645,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
646,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
647,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
648,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
649,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
708,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
709,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
710,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
711,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
712,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
713,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
714,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
715,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
716,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
717,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
718,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
719,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
720,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
721,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
722,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
723,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
724,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
725,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
726,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
727,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
790,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
791,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
792,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
793,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
794,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
795,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
796,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
797,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
798,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
799,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
800,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
801,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
802,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
803,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
804,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
805,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
806,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
807,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
808,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
809,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
810,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
869,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
870,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
871,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
872,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
873,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
874,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
875,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
876,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
877,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
878,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
879,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
880,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
881,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
882,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
883,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
884,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
885,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
886,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
887,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
888,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
947,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
948,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
949,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
950,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
951,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
952,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
953,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
954,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
955,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
956,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
957,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
958,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
959,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
960,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
961,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
962,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
963,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
964,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
965,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
966,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1025,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1026,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1027,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1028,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1029,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1030,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1031,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1032,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1033,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1034,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1035,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1036,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1037,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1038,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1039,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1040,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1041,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1042,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1043,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1044,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1103,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1104,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1105,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1106,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1107,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1108,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1109,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1110,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1111,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1112,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1113,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1114,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1115,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1116,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1117,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1118,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1119,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1120,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1121,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1122,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1185,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1186,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1187,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1188,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1189,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1190,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1191,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1192,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1193,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1194,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1195,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1196,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1197,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1198,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1199,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1200,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1201,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
1202,"global_elems=1034516480, dtype=torch.float16",178365,1784,176581,1426920,14269,1412651
